2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Genmodel_ID
5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
362,395,488,1050,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
30,20,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238
15,6,23,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
21,24,60,124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
0,0,441,625,419,343,78,0,0,0,0,0,0,0,0,0,0,0,0,0,242
0,1,84,254,122,139,249,264,171,5,0,0,0,2,1,0,0,0,0,0,243
94,71,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,244
112,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
0,0,0,0,0,0,210,286,184,29,0,0,0,0,0,0,0,0,0,0,246
142,228,216,175,1059,1051,1788,2305,1048,128,1,0,0,0,0,0,0,0,0,0,247
128,203,357,369,639,927,1326,923,641,19,0,1,1,0,0,0,0,0,0,0,248
105,100,85,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
0,0,0,0,0,0,64,353,133,0,0,0,0,0,0,0,0,0,0,0,261
0,0,0,0,0,748,1015,791,294,0,0,0,0,0,0,0,0,0,0,0,262
0,0,0,0,0,0,0,87,613,584,0,0,1,0,1,0,1,4,4,1,265
0,0,0,0,0,0,285,885,640,0,1,0,0,0,0,0,0,0,0,0,266
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6776,11872,6911,3173,2168,1738,211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,2355,990,386,2,0,213
0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,574,272,122,5,0,215
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,913,1457,581,216
85,105,103,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
0,0,0,0,0,0,0,18,21,2,0,0,0,0,0,0,0,0,0,0,273
0,0,0,0,0,0,0,0,0,44,115,224,290,216,180,5,1,1,0,0,276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,236,356,387,274,261,277
0,20,40,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
0,0,0,0,0,13,57,68,29,30,29,6,1,0,0,0,0,0,0,0,2710
0,0,0,25,56,29,19,27,7,3,0,0,0,0,0,0,0,0,0,0,2711
0,0,0,0,0,0,0,0,128,174,131,116,86,108,222,206,123,8,0,0,2713
0,0,0,0,156,174,193,135,47,1,0,0,0,0,0,0,0,0,0,0,2718
0,0,0,0,0,0,0,0,0,0,17,68,27,37,26,18,0,0,0,0,2719
0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,7,5,1,1,0,2721
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,275,207,2723
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,776,1231,15,0,281
0,0,0,0,0,0,160,12141,21268,22739,21944,29842,41336,49591,48914,47643,28129,24220,20425,13198,282
0,0,0,0,0,0,0,0,0,0,0,0,1,149,55,2,195,674,417,217,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1728,3479,2074,285
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,286
17,4,11,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289
44,5,0,0,0,0,2926,3300,2218,909,504,302,148,62,4,0,0,0,0,0,2810
0,0,0,0,63,188,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2811
47,235,528,960,1049,1329,1766,1827,1472,946,733,631,564,557,720,739,530,411,236,146,2812
0,0,0,0,0,0,0,15,28,25,58,81,31,7,1,3,6,2,2,25,2813
0,0,0,409,270,274,76,1,0,1,0,0,0,0,0,0,0,0,0,0,2816
22,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2830
74,94,188,224,251,167,217,195,145,163,77,0,0,0,0,0,0,0,0,0,2817
0,0,127,4408,4836,5951,7012,6174,11531,9712,5707,6575,7580,7963,7930,4779,3445,2623,2537,1723,2818
1132,2452,4420,6977,4459,15739,19615,13231,11595,10441,6942,6643,4662,3722,2489,1711,1212,311,0,0,2819
0,0,0,0,0,0,0,48,566,705,702,926,637,295,182,161,192,114,104,38,2821
2,0,0,2,1,3,167,370,201,88,90,9,184,12,5,10,0,0,0,0,2822
0,0,0,0,0,628,604,455,227,5,4,0,0,0,0,0,0,0,0,0,2823
605,743,869,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824
0,225,493,799,418,525,159,0,0,0,0,0,0,0,0,0,0,0,0,0,2826
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,130,52,13,89,2827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,5949,1935,1601,1005,2828
26,15,64,173,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829
